"id","nome","situacao","tipo_atraso","municipio","uf","cep","logradouro","bairro","termo_convenio","fim_da_vigencia_termo_convenio","situacao_do_termo_convenio","percentual_de_execucao","data_de_inicio","data_de_termino","data_final_ideal","tipo_do_projeto","tipo_de_ensino_modalidade","tipo_da_obra","valor_pactuado_pelo_fnde","percentual_pago"
1012860,"Loteamento Verdes Campos","Paralisada","Em relação à data de início + cronograma","Capinzal","SC","89665000","Rua Projetada C","São Cristóvão                                                                                       ","9022/2014","30/07/2018","Vigente",26.51,2015-12-07,2019-12-31,2016-11-01,"Projeto 1 Convencional","Educação Básica","Construção",1888084.32,23.9999996055261
11712,"701805 - Esc. Educ. Infantil   Tipo B  - Proinfância - Construção - ALVARO DE CARVALHO/SP","Paralisada","Em relação à data de início + cronograma","Álvaro de Carvalho","SP","17410000","AV. PAULO BISPO SALES","Centro","701805/2010",NA,"Vigente",55.3,2014-09-16,2019-12-31,2015-06-13,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1241592.75,NA
25575,"POVOADO DE ALDEIÁ","Paralisada","Em relação à data de início + cronograma","Sento Sé","BA","47350000","Rua Pricipal","Povoado de Aldeia","2523/2012","09/03/2019","Vigente",49.8,2015-08-14,2019-12-30,2016-02-10,"Escola de Educação Infantil Tipo C","Educação Básica","Construção",677335.55,50.0000004060026
1011049,"Lote01  da Quadra 71 - Itapiratins - TO","Execução","Em relação à data de início + cronograma","Itapiratins","TO","77718000","Avenida Tocantins","Setor Bela Vista                                                                                    ","22704/2014","28/12/2018","Vigente",70.3,2014-05-21,2019-12-30,2015-06-15,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3507275.39,68.0000000980818
25576,"SEDE DO MUNICÍPIO","Paralisada","Em relação à data de início + cronograma","Sento Sé","BA","47350000","Rua 1","Elias Alves","2523/2012","09/03/2019","Vigente",48.81,2015-08-14,2019-12-29,2016-05-10,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1450243,50.0000000999832
25577,"POVOADO DO PIÇARRÃO","Paralisada","Em relação à data de início + cronograma","Sento Sé","BA","47350000","RUA 5","POVOADO DE PIÇARRÃO","2523/2012","09/03/2019","Vigente",34.2,2015-08-14,2019-12-29,2016-02-10,"Escola de Educação Infantil Tipo C","Educação Básica","Construção",677335.55,19.9999998671264
1016017,"POVOADO DE PONTA D ÁGUA - ESCOLA 06 SALAS - Sento Sé - BA","Execução","Em relação à data de início + cronograma","Sento Sé","BA","47350000","Praça Maria Mafalda","ZONA RURAL                                                                                          ","31094/2014","20/11/2018","Vigente",30.71,2014-08-06,2019-12-29,2015-03-04,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1021956,30
1009461,"Escola Municipal Joviniano Ferreira do Amaral - Central - BA","Execução","Em relação à data de início + cronograma","Central","BA","44940000","Povoado de Caldeirãozinho","Centro                                                                                              ","19622/2014","30/12/2018","Vigente",0.06,2014-05-08,2019-12-06,2014-12-04,"Espaço Educativo - 04 Salas","Educação Básica","Construção",936609.66,15.000000177235
1014609,"Creche Pandorga","Paralisada","Em relação à data de início + cronograma","São Vicente do Sul","RS","97420000","Rua Dr Manoel Cipriano D'Avila","Centro                                                                                              ","9681/2014","25/05/2018","Vigente",16.41,2016-02-01,2019-11-06,2016-10-28,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.0000000726956
1009462,"ESCOLA MUNICIPAL JUSCELINO KUBISTCHECK - Central - BA","Execução","Em relação à data de início + cronograma","Central","BA","44940000","POVOADO DE VEREDA","Centro                                                                                              ","19622/2014","30/12/2018","Vigente",0.88,2014-05-08,2019-09-27,2014-12-04,"Espaço Educativo - 04 Salas","Educação Básica","Construção",936609.66,15.000000177235
25656,"PAC 2 - CRECHE/PRÉ-ESCOLA  001 POTOSI","Paralisada","Em relação à data de início + cronograma","Balsas","MA","65800000","Rua 20","Cohab II","2699/2012","26/10/2018","Vigente",58.55,2013-12-10,2019-09-26,2014-09-06,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454000.04,79.9999996093535
25654,"PAC 2 - CRECHE/PRÉ-ESCOLA  006 SÃO CAETANO","Paralisada","Em relação à data de início + cronograma","Balsas","MA",NA,NA,NA,"2699/2012","26/10/2018","Vigente",49.64,2013-12-10,2019-09-26,2014-09-06,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454000.04,84.9999994559835
25655,"PAC 2 - CRECHE/PRÉ-ESCOLA  005 SÃO FRANCISCO","Paralisada","Em relação à data de início + cronograma","Balsas","MA","65800000","Rua São Francisco","São Francisco","2699/2012","26/10/2018","Vigente",79.4,2013-12-10,2019-09-26,2014-09-06,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454000.04,94.9999991492435
25653,"PAC 2 - CRECHE/PRÉ-ESCOLA  002 BACABA","Paralisada","Em relação à data de início + cronograma","Balsas","MA","65800000","Avenida 01","Bacaba","2699/2012","26/10/2018","Vigente",58.37,2013-12-10,2019-09-26,2014-09-06,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454000.04,99.9999996836314
25657,"PAC 2 - CRECHE/PRÉ-ESCOLA  004 AÇUCENA","Paralisada","Em relação à data de início + cronograma","Balsas","MA","65800000","Avenida Arame,s/n","Centro","2699/2012","26/10/2018","Vigente",57.39,2013-12-10,2019-09-26,2014-09-06,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454000.04,94.9999998370014
1017532,"Creche de Ibiaporã","Inacabada","Em relação à data de início + cronograma","Mundo Novo","BA","44800000","Rua Carminha","Zona Rural                                                                                          ","11040/2014","23/02/2018","Vencido",3.14,2016-07-04,2019-09-22,2017-03-31,"Projeto 2 Convencional","Educação Básica","Construção",1294044.26,15.0000000888687
1010939,"CRISTO REI - Tupanatinga - PE","Execução","Em relação à data de início + cronograma","Tupanatinga","PE","56540000","Praça Santos Dumont","Centro                                                                                              ","22620/2014","30/06/2018","Vigente",1.9,2015-06-26,2019-08-30,2016-07-20,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3518454.83,14.9999998712503
1053842,"POVOADO BACURI - Riachão - MA","Execução","Em relação à data de início + cronograma","Riachão","MA","65990000","RUA 02 ","POVOADO BACURI","78112/2016","08/03/2019","Vigente",38.69,2016-06-30,2019-08-14,2017-01-26,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1021859.81,35.9968965054171
24893,"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Inacabada","Em relação à data de início + cronograma","Miracema do Tocantins","TO","77650000","Av. Zeca Pereira Vila Maria","Vila Maria","3157/2012","22/01/2018","Vencido",37.71,2012-07-03,2019-07-31,2013-03-30,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1454304,99.9999996905736
1015567,"Grupo Escolar Dona Maura Leal Valadares - Filadélfia - TO","Execução","Em relação à data de início + cronograma","Filadélfia","TO","77795000","Avenida A","Setor Central                                                                                       ","32439/2014","30/06/2018","Vigente",45.61,2014-07-24,2019-07-27,2015-08-18,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3348144.51,44.9999999799889
19249,"Creche Bela Vista","Inacabada","Em relação à data de início + cronograma","Conselheiro Lafaiete","MG","36400000","Rua 5","Bela Vista","1056/2011","30/07/2017","Vencido",49.94,2015-10-08,2019-07-27,2016-07-04,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1320867.35,100.000000030283
1013613,"POVOADO PALMINHA - Tocantínia - TO","Execução","Em relação à data de início + cronograma","Tocantínia","TO","77640000","Rua 01","Setor Central                                                                                       ","32456/2014","30/12/2019","Vigente",50.84,2014-09-10,2019-07-01,2015-04-08,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1021956,50
1010823,"LOTE RURAL 25-C-A3 - Santa Tereza do Oeste - PR","Paralisada","Em relação à data de início + cronograma","Santa Tereza do Oeste","PR","85825000","JOSE CALAZANS","Centro                                                                                              ","23164/2014","31/08/2018","Vigente",44.95,2014-06-10,2019-06-30,2015-07-05,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3373841.47,38.000000042622
1009154,"Terreno Gabiroba I","Execução","Em relação à data de início + cronograma","Itabira","MG","35902052","Rua dos Vereadores","Gabiroba                                                                                            ","7558/2013","30/07/2018","Vigente",52.65,2015-11-05,2019-06-25,2016-09-30,"Projeto 1 Convencional","Educação Básica","Construção",1819026.65,50.0027367905736
1009155,"Terreno do Boa Esperança","Execução","Em relação à data de início + cronograma","Itabira","MG","35903612","Rua João Paulo I","Chapada                                                                                             ","7558/2013","30/07/2018","Vigente",36.22,2015-11-05,2019-06-25,2016-09-30,"Projeto 1 Convencional","Educação Básica","Construção",1819026.65,35.0013749696819
1017334,"Terrreno destinado a construção de uma Creche tipo ","Execução","Em relação à data de início + cronograma","Jati","CE","63275000","Rua Sem Denominação Oficial 01","Centro                                                                                              ","10860/2014","08/06/2019","Vigente",19.79,2016-02-17,2019-06-08,2016-11-13,"Projeto 2 Convencional","Educação Básica","Construção",1234014.63,18.0000004356512
1016600,"PÉROLA ENCANTADA","Execução","Em relação à data de início + cronograma","Pérola d'Oeste","PR","85740000","RUA PREFEITO ERNESTO TONINI","Centro                                                                                              ","10131/2014","20/05/2019","Vigente",8.77,2015-09-29,2019-05-20,2016-06-25,"Projeto 2 Convencional","Educação Básica","Construção",1267584.71,15.0000001719806
1006034,"CRECHE MUNICIPAL ANA CAROLINE BARBOSA GOMES","Execução","Em relação à data de início + cronograma","Chorrochó","BA","48660000","Rua São Francisco","DISTRITO BARRA DO TARRACHIL                                                                         ","7172/2013","01/12/2018","Vigente",35.2,2017-05-18,2019-05-18,2018-02-12,"Projeto 2 Convencional","Educação Básica","Construção",1294044.26,31.492214981497
24585,"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Execução","Em relação à data de início + cronograma","Miguel Alves","PI","64130000","Rua 13","São Miguel","3011/2012","12/05/2018","Vigente",50.71,2015-05-28,2019-05-12,2016-02-22,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1314901.99,50.0000004525052
1016284,"Conjunto Ada Bezerra Gomes - Emas - PB","Paralisada","Em relação à data de início + cronograma","Emas","PB","58763000","RUA: PROJETADA ","Centro                                                                                              ","29828/2014","31/05/2018","Vigente",46.09,2014-09-30,2019-04-30,2015-04-28,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1020610.58,45.0000008509612
25245,"PAC 2 - CRECHE/PRÉ-ESCOLA  003","Execução","Em relação à data de início + cronograma","Paracatu","MG","38600000","Rua A","JK                                                                                                  ","5826/2013","09/05/2019","Vigente",20.53,2016-09-02,2019-04-30,2017-07-29,"Projeto 1 Convencional","Educação Básica","Construção",1819026.65,18.9986034135925
1009157,"CRECHE MUNICIPAL SONHO DE CRIANÇA","Execução","Em relação à data de início + cronograma","Manhuaçu","MG","36900000","ALAMEDA DR. ELOY WERNER","ALFA SUL                                                                                            ","7560/2013","31/12/2018","Vigente",27.41,2016-06-13,2019-04-30,2017-05-09,"Projeto 1 Convencional","Educação Básica","Construção",1819026.65,21.32248909744
31172,"Alto do Riachinho Escola da Cidadania","Paralisada","Em relação à data de início + cronograma","Vera Cruz","BA","44470000","Rua Professor Henrique de Souza","Fonte da Prata","7493/2014","28/11/2018","Vigente",23.71,2016-04-01,2019-04-30,2017-04-26,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3382242.07,39.9999997469134
25451,"Creche da Área 10 - Bairro Tarumã","Paralisada","Em relação à data de início + cronograma","Manaus","AM","69021310","Rua Gustavo Capanema (Antiga Rua São Tomé)","Tarumã","7228/2013","30/09/2018","Vigente",67.54,2012-08-20,2019-04-30,2013-05-17,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1452130.86,39.3110943024101
25448,"Creche da Área 42 - Bairro do Tarumã-Açu","Paralisada","Em relação à data de início + cronograma","Manaus","AM","69023000","Rua Peixe Cavalo (Antiga Avenida Ayrton Senna)","Tarumã","7228/2013","30/09/2018","Vigente",67.42,2012-08-20,2019-04-30,2013-05-17,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1452130.86,19.9999999242493
29682,"AREA 26 - COMUNIDADE TERRA PRETA","Paralisada","Em relação à data de início + cronograma","Manaus","AM","69000000","Rua Projetada","TERRA PRETA","19602/2014","01/06/2018","Vigente",42.59,2014-02-05,2019-04-30,2014-09-03,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1023018.28,39.99999997654
29683,"AREA 24 - COMUNIDADE TRÊS UNIDOS","Paralisada","Em relação à data de início + cronograma","Manaus","AM","69000000","Rua Projetada","Três Unidos","19602/2014","01/06/2018","Vigente",42.47,2014-02-05,2019-04-30,2014-09-03,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1022836.69,40.0000004692831
1010171,"Paula Resende - Piraquê - TO","Execução","Em relação à data de início + cronograma","Piraquê","TO","77888000","P.A. Ventura I","Zona Rural                                                                                          ","20045/2014","30/06/2018","Vigente",66.38,2014-06-25,2019-04-30,2014-11-22,"Espaço Educativo - 02 Salas","Educação Básica","Construção",240793.18,63.0000028979226
1018597,"Ventura II - Piraquê - TO","Execução","Em relação à data de início + cronograma","Piraquê","TO","77888000","P.A. Ventura II","Zona Rural","34155/2014","17/09/2018","Vigente",36.77,2014-08-22,2019-04-30,2015-01-19,"Espaço Educativo - 02 Salas","Educação Básica","Construção",240792.18,40.000003422038
1009666,"CEINF Carandá Bosque","Execução","Em relação à data de início + cronograma","Ponta Porã","MS","79900224","Rua Odeval Espindola","Carandá Bosque                                                                                      ","11687/2014","17/01/2019","Vigente",27.12,2016-04-27,2019-04-27,2017-03-23,"Projeto 1 Convencional","Educação Básica","Construção",1920220.24,25.9999999102186
1001713,"CRECHE DO SAAE ","Paralisada","Em relação à data de início + cronograma","Bacabal","MA","65700000","RUA ANTONIO LOBO ","Centro                                                                                              ","5196/2013","30/06/2018","Vigente",18.12,2016-11-29,2019-04-26,2017-10-25,"Projeto 1 Convencional","Educação Básica","Construção",1842912.09,21.8106595068064
1001983,"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Execução","Em relação à data de início + cronograma","Ponta Porã","MS","7900000","Av A (Luiz Quintana)","CHÁCARA SÃO TOMAZ/ JD FLAMBOYANT                                                                    ","5383/2013","28/09/2018","Vigente",70.51,2016-04-27,2019-04-26,2017-03-23,"Projeto 1 Convencional","Educação Básica","Construção",1920220.24,67.7380799694722
1011060,"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  002","Paralisada","Em relação à data de início + cronograma","Bacabal","MA","65700000","AVENIDA DOM BOSCO ","NOVO BACABAL                                                                                        ","9839/2014","20/10/2018","Vigente",17.07,2016-03-02,2019-04-26,2016-11-27,"Projeto 2 Convencional","Educação Básica","Construção",1209031.22,21.0014419192552
1496,"700017/08 - Escola de Educação Infantil - Rio Tinto/PB","Execução","Em relação à data de início + cronograma","Rio Tinto","PB",NA,NA,NA,"700017/2008",NA,"Vigente",88.54,2015-09-11,2019-04-26,2016-06-07,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1041669.09,NA
1012695,"CRECHE DA COHAB II","Paralisada","Em relação à data de início + cronograma","Bacabal","MA","65700000","VP 6","COHAB II                                                                                            ","8785/2014","30/11/2018","Vigente",29.5,2016-06-16,2019-04-26,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1209031.22,23.0042032663053
1011061,"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001","Paralisada","Em relação à data de início + cronograma","Bacabal","MA","65700000","RUA PROJETADA DE QUADRA 12","RESIDENCIAL TERRA DO SOL                                                                            ","9839/2014","20/10/2018","Vigente",9.36,2016-11-29,2019-04-26,2017-10-25,"Projeto 1 Convencional","Educação Básica","Construção",1842912.09,14.9999998458961
1012696,"CRECHE BAIRRO D'AREIA ","Paralisada","Em relação à data de início + cronograma","Bacabal","MA","65700000","RUA PROJETADA DA PRAÇA DA JUVENTUDE ","BAIRRO D'AREIA                                                                                      ","8785/2014","30/11/2018","Vigente",21.05,2016-03-04,2019-04-24,2017-01-28,"Projeto 1 Convencional","Educação Básica","Construção",1842912.09,14.9999998458961
1001472,"Rua Egeu","Execução","Em relação à data de início + cronograma","Carapicuíba","SP","06328100","Rua Egeu","Conjunto Habitacional Presidente Castelo Branco                                                     ","5146/2013","26/10/2018","Vigente",1.32,2016-08-10,2019-04-20,2017-05-07,"Projeto 2 Convencional","Educação Básica","Construção",1298038.17,54.726332939962
1005155,"PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Mortugaba - BA","Paralisada","Em relação à data de início + cronograma","Mortugaba","BA","46290000","AV. GERALDO GUERRA","INDUSTRIAL                                                                                          ","6491/2013","27/06/2018","Vigente",64.1,2013-11-12,2019-04-20,2014-05-11,"MI - Escola de Educação Infantil Tipo B","Educação Básica","Construção",1629687,65
24373,"Creche Maria Ramis","Paralisada","Em relação à data de início + cronograma","Santa Vitória do Palmar","RS","96230000","Rua do Palmar","Donatos                                                                                             ","5536/2013","25/05/2018","Vigente",9.42,2016-06-08,2019-04-19,2017-03-05,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.3639083363044
32915,"PROINFANCIA - RUA F - JANGURUSSU","Execução","Em relação à data de início + cronograma","Fortaleza","CE","60000000","RUA F","JANGURUSSU                                                                                          ","4111/2013","30/07/2018","Vigente",10.64,2015-10-13,2019-04-18,2016-09-07,"Projeto 1 Convencional","Educação Básica","Construção",1868415.61,23.5154388526108
1016001,"ESCOLA MUNICIPAL FAVO DE MEL - Chorrochó - BA","Paralisada","Em relação à data de início + cronograma","Chorrochó","BA","48660000","POVOADO DE SÃO JOSÉ","CENTRO                                                                                              ","30128/2014","28/09/2018","Vigente",25.64,2014-09-04,2019-04-16,2015-04-02,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1020286.62,30.9999997509523
1015299,"ESCOLA MUNICIPAL DE VÁRZEA da EMA - Chorrochó - BA","Paralisada","Em relação à data de início + cronograma","Chorrochó","BA","48660000","POVOADO DE VÁRZEA DA EMA","CENTRO                                                                                              ","29984/2014","27/07/2018","Vigente",28.81,2014-09-04,2019-04-16,2015-04-02,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1020286.62,26.9999992456041
1009210,"EMEI Bairro Piratini - Gramado - RS","Paralisada","Em relação à data de início + cronograma","Gramado","RS","95670000","Rua Farrapos","Piratini                                                                                            ","7601/2013","21/06/2018","Vigente",69.02,2014-01-21,2019-04-16,2014-05-21,"MI - Escola de Educação Infantil Tipo C","Educação Básica","Construção",781626.22,75.9999990788436
1015703,"CRECHE E PRÉ-ESCOLA MUNICIPAL DE MACURURÉ ","Execução","Em relação à data de início + cronograma","Macururé","BA","48650000","SEDE DE MACURURÉ BA","Centro                                                                                              ","9881/2014","20/11/2018","Vigente",31.41,2016-03-22,2019-04-13,2016-12-17,"Projeto 2 Convencional","Educação Básica","Construção",1294044.26,18.0000002611966
18129,"EMEI SANGA FUNDA","Execução","Em relação à data de início + cronograma","Pelotas","RS","96060290","Avenida Engenheiro Ildefonso Simões Lopes","Três Vendas                                                                                         ","4136/2013","15/12/2018","Vigente",10.81,2016-06-16,2019-04-10,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,14.3637733014926
13388,"703064 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - JAÇANÃ/RN","Execução","Em relação à data de início + cronograma","Jaçanã","RN","59225000","Rua Prefeito José Pereira da Silva","São José","703064/2010",NA,"Vigente",84.87,2015-04-09,2019-04-10,2015-10-06,"Escola de Educação Infantil Tipo C","Educação Básica","Construção",614740.5,NA
20029,"EMEI SÍTIO FLORESTA","Execução","Em relação à data de início + cronograma","Pelotas","RS","96070135","Rua Ignácio Teixeira Machado","Três Vendas                                                                                         ","4136/2013","15/12/2018","Vigente",12.82,2016-06-16,2019-04-10,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.3637729721064
20033,"LOTEAMENTO DUNAS","Execução","Em relação à data de início + cronograma","Pelotas","RS","96085070","Rua Giovani Guimarães","Areal                                                                                               ","4136/2013","15/12/2018","Vigente",4.95,2016-06-16,2019-04-10,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.3637729721064
19600,"LOTEAMENTO EUCALIPTO","Execução","Em relação à data de início + cronograma","Pelotas","RS","96065610","RUA DOS AÇORES","TRÊS VENDAS                                                                                         ","4136/2013","15/12/2018","Vigente",10.81,2016-06-16,2019-04-10,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.3637729721064
1018145,"Proinfancia Nova Capitolio","Execução","Em relação à data de início + cronograma","Capitólio","MG","37930000","Rua Jose Soares de Oliveira","Nova Capitólio                                                                                      ","46291/2014","31/07/2018","Vigente",20.66,2016-04-14,2019-04-10,2017-01-09,"Projeto 2 Convencional","Educação Básica",NA,1201737.6,18.0000000495949
20179,"VILA PRINCESA","Execução","Em relação à data de início + cronograma","Pelotas","RS","96072014","Avenida Quatro","Três Vendas                                                                                         ","4136/2013","15/12/2018","Vigente",11.58,2016-06-16,2019-04-10,2017-03-13,"Projeto 2 Convencional","Educação Básica","Construção",1196771.39,15.3637746432693
1002385,"Terreno Público - creche escolar - Sede - Cristópolis - BA","Paralisada","Em relação à data de início + cronograma","Cristópolis","BA","47950000","Rua do Campo ","Centro                                                                                              ","6057/2013","30/12/2018","Vigente",42.88,2013-11-11,2019-04-09,2014-05-10,"MI - Escola de Educação Infantil Tipo B","Educação Básica","Construção",1608687,50
1016272,"TERRENO DA SEDE DE RODELAS PARA ESCOLA DE 06 SALAS","Execução","Em relação à data de início + cronograma","Rodelas","BA","48630000","RUA DA AURORA","SEDE                                                                                                ","30159/2014","30/10/2018","Vigente",38.88,2014-10-01,2019-04-09,2015-04-29,"Espaço Educativo - 06 Salas","Educação Básica",NA,1020286.62,36.9999990387995
1001743,"DISTRITO DE FEDEGOSOS","Execução","Em relação à data de início + cronograma","Morro do Chapéu","BA","44850000","RUA JOSÉ FERREIRA","FEDEGOSOS                                                                                           ","6078/2013","20/10/2018","Vigente",35.37,2016-04-14,2019-04-06,2017-01-09,"Projeto 2 Convencional","Educação Básica","Construção",1294044.26,17.2211072728077
1017642,"Escola Municipal Dois de Julho  de Icó - Morro do Chapéu - BA","Execução","Em relação à data de início + cronograma","Morro do Chapéu","BA","44850000","Rua da Educação","Povoado de Icó","31653/2014","30/06/2018","Vigente",24.06,2014-09-02,2019-04-05,2015-03-31,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1019124.04,23.000000189084
1068146,"ESCOLA DO CONJUNTO HABITACIONAL DELY OLIVEIRA - Belo Campo - BA","Execução","Em relação à data de início + cronograma","Belo Campo","BA","45160000","RUA D","LOTEAMENTO DELY OLIVEIRA","31627/2014","31/05/2018","Vigente",39.2,2016-06-22,2019-04-04,2017-01-18,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1002149.79,27.0000006523975
25560,"BELA VISTA","Paralisada","Em relação à data de início + cronograma","Jaguaquara","BA","45345000","Praça da Bandeira","CASCA","2563/2012","30/04/2018","Vigente",23.61,2015-05-04,2019-03-30,2016-01-29,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1403403.96,39.999999771983
1010641,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","Execução","Em relação à data de início + cronograma","Santana","AP","68925000","RUA DA CRECHE","ANUERAPURU                                                                                          ","7709/2013","30/03/2019","Vigente",11.66,2016-02-02,2019-03-30,2016-10-29,"Projeto 2 Convencional","Educação Básica","Construção",1255001.49,19.0999660935942
1002006,"PAC 2 - CRECHE/PRÉ-ESCOLA  001 BAIRRO AEROPORTO","Execução","Em relação à data de início + cronograma","Poconé","MT","78175000","Rua Justino Gonçalves da Guia/Rua Joaquim Murtinho","Aeroporto                                                                                           ","5371/2013","30/03/2019","Vigente",16.98,2016-05-19,2019-03-30,2017-04-14,"Projeto 1 Convencional","Educação Básica","Construção",2013173.7,21.1950211133307
